id,code,fsw
nsv,"5. Gegevens die ten behoeve van wetenschappelijke doeleinden zijn verzameld, mogen uitsluitend voor wetenschappelijk onderzoek worden gebruikt en dus niet worden aangewend voor justitiële of commerciële doeleinden.","FSS guidelines makes no such requirement, as it may be difficult to put in practice. “Commercial purposes” is poorly defined, and excluding those purposes may prove more restrictive than anticipated. It is therefore advised to make published data available under that doesn’t limit such use. For more information see:  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3234435/"
nsv,"6. De direct identificerende gegevens van de informanten blijven anoniem voor derden, tenzij de informanten uitdrukkelijk toestemming hebben gegeven om hun identiteit in de openbaarheid te brengen. Onder direct identificerende gegevens worden verstaan: naam, adres, telefoonnummer, fiscaal nummer, kortom, gegevens die onmiddellijk tot één persoon te herleiden zijn. Reeds in het proces van gegevensverzameling dient vertrouwelijk te worden omgegaan met identificerende persoonsgegevens. Vertrouwelijkheid in deze fase houdt onder meer in dat direct identificerende persoonsgegevens gescheiden van andere gegevens worden bewaard en daaraan verbonden zijn door versleuteling. Als sociologen het vergaren van gegevens laten verrichten door anderen, zien ze er op toe dat die het in dit artikel gestelde in acht nemen. Sociologen zorgen ervoor dat direct identificerende gegevens niet in handen van derden komen, tenzij deze derden gehouden zijn aan de regels van deze code. Direct identificerende gegevens worden na afloop van het veldwerk vernietigd als ze niet meer nodig zijn voor het controleren van verzamelde gegevens. Als regel wordt een termijn van zes maanden na het afsluiten van het veldwerk aangehouden.","FSS takes a pragmatic approach here, where researchers need to decide on a case-by-case basis what to keep, and keep a record of their decisions in their DMP."
vu,"1. Researchers are responsible for compliance with legal and ethical requirements regarding
their research data, including review by ethics committees if necessary.",This is included in FSS Policy.
vu,"2. Researchers are responsible for ensuring that their research data are reliably, traceably and securely stored throughout the data life cycle and that they are able to report the storage location of their data to the department head, for example upon termination of their employment at the VU. At the same time, department heads are also responsible for making agreements with researchers on such issues, see article 7 under ‘Responsibilities’ in this policy.","FSS guidelines ask researchers to use VU-provided infrastructure whenever needed, and if not ensure that the infrastructure lives up to this standard."
vu,"3. Researchers are responsible for archiving their research data for a minimum of ten years
after research results are published, unless legal requirements, discipline-specific guidelines or contractual arrangements dictate otherwise. The moment of publication is defined as the first online appearance of the publication. If there is no online publication date, the formal publication date of the publisher applies. If a researcher’s employment terminates between the events of submitting a publication and the actual moment of publication, agreements must be made regarding these data archiving responsibilities according to articles 2 and 7 under ‘Responsibilities’ in this policy.","FSS guidelines follow this. If the data is not archived for 10 years, motivation is required in the DMP."
vu,"4. Researchers are responsible for being able to share their research data for scientific use and
verification, by making them accessible (A in FAIR) to others, preferably and where possible
with a Persistent Identifier. Before research data are shared for reuse or verification, a
researcher has to make sure that this is compliant with applicable legislation and ethical requirements. When research data include personal data, an assessment must first take place to determine whether these data can be shared and if so, under which conditions.","FSS guidelines follow this, and explicitly recommend not publishing personal data, unless the researcher can ensure that they meet all legal and ethical requirements for publishing."
vu,"5. The VU ensures that research data that are generated at the VU are Findable (F in FAIR) by including descriptions of these datasets in the Current Research Information System (CRIS) of the VU.10 Researchers’ responsibilities in this process are as follows: researchers can perform this registration themselves, or they or their research support staff can request the CRIS administrator vuresearchportal.ub@vu.nl) to do this registration by providing the necessary information (e.g. the storage location of the dataset, author information, project information).",Researchers register their data sets on PURE.
vu,"6. Researchers who collect and process personal data for their research, must comply with the requirements of the GDPR and the UAVG and, additionally, they must register these activities in a processing register. Keeping a record of processing activities is a legal requirement (imposed by the GDPR). The Privacy Champions in the faculties are the first point of contact for support on these matters.","VU guidelines include explict references to GDPR, and the privacy register."
vu,"7. Department heads are responsible for arranging agreements with researchers in their
departments regarding the management of research data, particularly when a researcher’s
employment is ending. See article 2 of this policy for more detail.",FSS guidelines include a section on what to do upon contract termination.
vu,"8. Faculties must establish their own Research Data Management policies which are applicable
to all of their departments and institutes, and that include, where necessary, discipline-
specific protocols.",FSS has an RDM policy that specifically acknowledges the variety of disciplines within the faculties. 
